id,postcode,SUBZONE_C,PLN_AREA_C,REGION_C
3,68608,OTSZ03,OT,CR
3,68619,OTSZ03,OT,CR
3,58953,OTSZ03,OT,CR
3,89594,OTSZ03,OT,CR
3,68616,OTSZ03,OT,CR
3,59491,OTSZ03,OT,CR
3,88456,OTSZ03,OT,CR
3,88998,OTSZ03,OT,CR
3,58326,OTSZ03,OT,CR
3,89007,OTSZ03,OT,CR
3,88473,OTSZ03,OT,CR
3,88322,OTSZ03,OT,CR
3,88499,OTSZ03,OT,CR
3,58822,OTSZ03,OT,CR
3,69445,OTSZ03,OT,CR
3,89599,OTSZ03,OT,CR
3,58970,OTSZ03,OT,CR
3,69447,OTSZ03,OT,CR
3,59212,OTSZ03,OT,CR
3,89137,OTSZ03,OT,CR
3,59805,OTSZ03,OT,CR
3,59432,OTSZ03,OT,CR
3,69253,OTSZ03,OT,CR
3,88268,OTSZ03,OT,CR
3,58613,OTSZ03,OT,CR
3,89817,OTSZ03,OT,CR
3,89144,OTSZ03,OT,CR
3,89770,OTSZ03,OT,CR
3,89768,OTSZ03,OT,CR
3,89165,OTSZ03,OT,CR
3,89114,OTSZ03,OT,CR
3,89143,OTSZ03,OT,CR
3,89678,OTSZ03,OT,CR
3,89679,OTSZ03,OT,CR
3,89127,OTSZ03,OT,CR
3,89680,OTSZ03,OT,CR
3,89673,OTSZ03,OT,CR
3,88756,OTSZ03,OT,CR
3,88997,OTSZ03,OT,CR
3,69113,OTSZ03,OT,CR
3,79314,OTSZ03,OT,CR
3,69791,OTSZ03,OT,CR
3,69428,OTSZ03,OT,CR
3,69257,OTSZ03,OT,CR
3,58353,OTSZ03,OT,CR
3,58354,OTSZ03,OT,CR
3,89109,OTSZ03,OT,CR
3,88981,OTSZ03,OT,CR
3,89824,OTSZ03,OT,CR
3,89825,OTSZ03,OT,CR
3,88986,OTSZ03,OT,CR
3,88326,OTSZ03,OT,CR
3,88852,OTSZ03,OT,CR
3,88853,OTSZ03,OT,CR
3,88855,OTSZ03,OT,CR
3,88857,OTSZ03,OT,CR
3,88858,OTSZ03,OT,CR
3,89827,OTSZ03,OT,CR
3,88987,OTSZ03,OT,CR
3,88327,OTSZ03,OT,CR
3,88863,OTSZ03,OT,CR
3,88867,OTSZ03,OT,CR
3,88869,OTSZ03,OT,CR
3,88873,OTSZ03,OT,CR
3,88877,OTSZ03,OT,CR
3,89739,OTSZ03,OT,CR
3,88988,OTSZ03,OT,CR
3,88328,OTSZ03,OT,CR
3,89831,OTSZ03,OT,CR
3,89740,OTSZ03,OT,CR
3,88329,OTSZ03,OT,CR
3,89833,OTSZ03,OT,CR
3,89741,OTSZ03,OT,CR
3,88990,OTSZ03,OT,CR
3,89834,OTSZ03,OT,CR
3,89742,OTSZ03,OT,CR
3,88331,OTSZ03,OT,CR
3,89743,OTSZ03,OT,CR
3,88332,OTSZ03,OT,CR
